NO,ADDR,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20,GOTO,REMARKS
14,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,?WBLX?,EL_ETM,GETM3.5H,EL_ACAPA,1150,EL_ASPD,120,EL_ERPD,10,EL_ERPW,5,EL_ERPR,2:1,EL_EHTRH,">105000,<=120000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013253,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G09
15,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,?WBLX?,EL_ETM,GETM3.5H,EL_ACAPA,1200,EL_ASPD,105,EL_ERPD,10,EL_ERPW,5,EL_ERPR,2:1,EL_EHTRH,">=40000,<=100000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013254,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G10
16,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,?WBLX?,EL_ETM,GETM3.5H,EL_ACAPA,1200,EL_ASPD,120,EL_ERPD,10,EL_ERPW,5,EL_ERPR,2:1,EL_EHTRH,">=40000,<=95000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013255,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G11
17,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,?WBLX?,EL_ETM,GETM3.5H,EL_ACAPA,1200,EL_ASPD,120,EL_ERPD,10,EL_ERPW,4,EL_ERPR,2:1,EL_EHTRH,">95000,<=105000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013255,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G11
18,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,?WBLX?,EL_ETM,GETM3.5H,EL_ACAPA,1200,EL_ASPD,120,EL_ERPD,10,EL_ERPW,5,EL_ERPR,2:1,EL_EHTRH,">105000,<=120000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013255,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G11
19,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,GTLX_R,EL_ETM,GETM3.5H,EL_ACAPA,1000,EL_ASPD,105,EL_ERPD,10,,,EL_ERPR,2:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013340,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G12
20,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,GTLX_R,EL_ETM,GETM3.5H,EL_ACAPA,1000,EL_ASPD,120,EL_ERPD,10,,,EL_ERPR,2:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013341,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G13
21,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,GTLX_R,EL_ETM,GETM3.5H,EL_ACAPA,1150,EL_ASPD,105,EL_ERPD,10,,,EL_ERPR,2:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013252,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G08
22,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,GTLX_R,EL_ETM,GETM3.5H,EL_ACAPA,1150,EL_ASPD,120,EL_ERPD,10,,,EL_ERPR,2:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013253,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G09
23,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,GTLX_R,EL_ETM,GETM3.5H,EL_ACAPA,1200,EL_ASPD,105,EL_ERPD,10,,,EL_ERPR,2:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013254,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G10
